id,description,chart_template_id/id,type_tax_use,name,type,amount,account_collected_id/id,account_paid_id/id,base_code_id/id,tax_code_id/id,ref_base_code_id/id,ref_tax_code_id/id,tax_sign,base_sign,ref_base_sign,ref_tax_sign,parent_id/id
tax_input_vat,,ecosoft_account_chart,purchase,Input Tax,percent,0.07,ecosoft_account_11921,ecosoft_account_11920,tc_base_input,tc_tax_vat_input,,,,,,,
tax_output_vat,,ecosoft_account_chart,sale,Output Tax,percent,0.07,ecosoft_account_21921,ecosoft_account_21920,tc_base_output,tc_tax_vat_output,,,,,,,
tax_wht_co_1,,ecosoft_account_chart,purchase,Company Withholding Tax 1% (Transportation),percent,0.01,ecosoft_account_21930,ecosoft_account_21930,tc_base_wht_co_other,tc_tax_wht_co_other,,,,,,,
tax_wht_co_2,,ecosoft_account_chart,purchase,Company Withholding Tax 2% (Advertising),percent,0.02,ecosoft_account_21930,ecosoft_account_21930,tc_base_wht_co_other,tc_tax_wht_co_other,,,,,,,
tax_wht_co_3,,ecosoft_account_chart,purchase,Company Withholding Tax 3% (Service),percent,0.03,ecosoft_account_21930,ecosoft_account_21930,tc_base_wht_co_serv,tc_tax_wht_co_serv,,,,,,,
tax_wht_co_5,,ecosoft_account_chart,purchase,Company Withholding Tax 5% (Rental),percent,0.05,ecosoft_account_21930,ecosoft_account_21930,tc_base_wht_co_other,tc_tax_wht_co_other,,,,,,,
tax_wht_pers_1,,ecosoft_account_chart,purchase,Personal Withholding Tax 1% (Transportation),percent,0.01,ecosoft_account_21930,ecosoft_account_21930,tc_base_wht_pers_other,tc_tax_wht_pers_other,,,,,,,
tax_wht_pers_2,,ecosoft_account_chart,purchase,Personal Withholding Tax 2% (Advertising),percent,0.02,ecosoft_account_21930,ecosoft_account_21930,tc_base_wht_pers_other,tc_tax_wht_pers_other,,,,,,,
tax_wht_pers_3,,ecosoft_account_chart,purchase,Personal Withholding Tax 3% (Service),percent,0.03,ecosoft_account_21930,ecosoft_account_21930,tc_base_wht_pers_serv,tc_tax_wht_pers_serv,,,,,,,
tax_wht_pers_5,,ecosoft_account_chart,purchase,Personal Withholding Tax 5% (Rental),percent,0.05,ecosoft_account_21930,ecosoft_account_21930,tc_base_wht_pers_other,tc_tax_wht_pers_other,,,,,,,
tax_wht_income_1,,ecosoft_account_chart,sale,Withholding Income Tax 1% (Transportation),percent,0.01,ecosoft_account_11930,ecosoft_account_11930,,,,,,,,,
tax_wht_income_2,,ecosoft_account_chart,sale,Withholding Income Tax 2% (Advertising),percent,0.02,ecosoft_account_11930,ecosoft_account_11930,,,,,,,,,
tax_wht_income_3,,ecosoft_account_chart,sale,Withholding Income Tax 3% (Service),percent,0.03,ecosoft_account_11930,ecosoft_account_11930,,,,,,,,,
tax_wht_income_5,,ecosoft_account_chart,sale,Withholding Income Tax 5% (Rental),percent,0.05,ecosoft_account_11930,ecosoft_account_11930,,,,,,,,,
